"tweetid","username","tweet","created_at","place","location","classification"
"16","AfricanWorldCi1","Spiritual does not mean nice. Or a pushover, or you can play with me. It means I can read into situations deeper past the surface and I understand what needs to be done to restore the balance. So don’t play with me ????","2020-07-11 19:12:38",NULL,NULL,"neutral"
"17","witsend1947x","#Dems 0, #Republicans -1
Open SmartNews to read '‘I think I made a mistake’: Patient who thought pandemic was a ‘hoax’ dies after going to ‘COVID party’' here: https://t.co/pjqHGzvq5u or you can directly access the content using this link here: https://t.co/VFB3I5Mreu","2020-07-11 19:12:38",NULL,NULL,"neutral"
"18","mun_mira","now...didnt i ask earlier for help with meme and pictures...lol now i get plenty:(  may i use that when i do womens train again?","2020-07-11 19:12:38",NULL,"On top of the mountain&10dogs","neutral"
"19","mhw_millinery","Thanks Cheryl. Just giving a little preview, the posts I am putting up in this thread are the items being featured in tomorrow’s virtual market
#notinbelfordartsfestival
#handmade #millinery #craft #slowsewing","2020-07-11 19:12:39",NULL,"England, United Kingdom","neutral"
"20","buckysrhapsody","never really listened to them just the mvs and most famous songs and tbh i dont really have an opinion on them but i really liked the pics of the third guy (idk his name) where he had makeup on","2020-07-11 19:12:39",NULL,"she/her :)","neutral"
"21","StopComplying","THE POLICE &amp; NHS ALL NEED TO COME TOGETHER &amp; STAND IN SOLIDARITY WITH THE PEOPL &amp; EXPOSE THIS HOAX THAT IS LEADING US INTO A TOTALITARIAN NIGHTMARE,THEY KNOW ITS A HOAX NOT FAKE BUT A HOAX I HAVE SPOKEN TO BOTH SIDES &amp; THEY ALL AGREE ITS A HOAX","2020-07-11 19:12:39",NULL,"Planet earth ","neutral"
"22","Raidieschen","17. I can bend my thumb in funny ways. XD I had to learn to do a proper thumbs up for a stage character. 
I love to make ppl squirm with it XD","2020-07-11 19:12:40",NULL,"Germany","neutral"
"23","agroprofundum","⠀
⠀the smaller man tensed up almost the second the other came in contact with him, trying his very best not to look into the mask whose blackened eyes he could feel boring into himself.
⠀
⠀' n – no, i don't. but . . . you said they ????????????????????. '

⠀( + )
⠀","2020-07-11 19:12:42",NULL,"???????????????????????????? ???????????????????? ???????????????????????????? ???????????? ????????","neutral"
"24","sapphicsty","also can i classify originally i wasn’t going to pictures it wasn’t because i cant be asked to put picture credit! all pictures are from tumblr/google images and i couldn’t find the artists","2020-07-11 19:12:42",NULL,"cr: cwp | they/them | 17","neutral"
"25","casualgrace","If my wife or I are off for the day Mom goes to work. 

I'm one of those weirdos who micromanages my sims. So having 4 people to keep track of is a little hectic. Especially when one is a baby and can't do anything for themselves.","2020-07-11 19:12:42",NULL,"Toronto, Canada","neutral"
"26","marly_charlene","I would LOVE to see someone make an argument with more than them claiming their Civil Rights. I respect and understand “it’s your right as an American” but some factual and educational argumentative points would make me value your opinion SO much more.","2020-07-11 19:12:42",NULL,"Yuma, AZ","neutral"
"27","ArtisyCooki5254","Akira: hey, open up, Akechi. I'm at you'r--

Akechi: ... it all started when I was born and my terrible father left me and my mother, making her suffer...

Akira: OPEN THE DOOR.","2020-07-11 19:12:43",NULL,NULL,"neutral"
"28","jaylann___","my attitude real “????” due to reasons I can’t disclose. and I just know getting this surgery next week, it’s gonna amp me up to times 10 ???? ouuuu I’m so excited","2020-07-11 19:12:44",NULL,"Chicago, IL","neutral"
"29","gabbiewilson007","I’m not sayin I condone it...but how come y’all don’t keep THIS SAME ENERGY when athletes cheat on their wives who r fully together &amp; not taking a break????","2020-07-11 19:12:44",NULL,NULL,"neutral"
"30","rmytear","the way the ""painful"" mother memories turned out not so terrible after all. i guess it was gang tae's perspective. but, they fr played me. i wanted to hit the mom before kjsjkksj","2020-07-11 19:12:44",NULL,"wherever BTS be going","neutral"
"31","janetmock","I share all of this to say that it matters who is behind the camera. It matters who is calling the shots. And it matters that we continue to bring in and support more Black storytellers so we can continue making art that moves and includes us all. #PoseFX https://t.co/dAqm8HRler","2020-07-11 19:12:46",NULL,"New York City","neutral"
"32","LilouNoirMfc","Bon week-end à tous, samedi c’est pour profiter ! ???? I will be online today around 3:30 pm pst with a beautiful new lingerie. A kind of ying to my yang yesterday !!

Countdown will be for a very naughty countdown ✨

RDV around 3:30 pm pst and goal is also to get drunk ???????? https://t.co/7avqkEub8U","2020-07-11 19:12:46",NULL,"Lilousville","neutral"
"33","jemergence","Do you ever wonder if people ever really RT without endorsement? I'm doing it, now. This is a fun thought experiment which—within milliseconds—collapses in a horrifying heap.

NPR has a story about a neuroscientist studying psychopathy who found out Lizzy Borden was his ancestor.","2020-07-11 19:12:46",NULL,"Manhattan, NY","neutral"
"34","sanjuktampaul","Several years ago, I thought I was starting to find contradictions in how antitrust law treated workers (historically &amp; presently) &amp; how it treated other combinations. Everything since then has been learning &amp; putting together the deep ways it's not contradictory at all.","2020-07-11 19:12:46",NULL,NULL,"neutral"
"35","_mattiasrose","and that does not make me a bad person. Furthermore, if this is true then it should have been reported to the appropriate organizations and people to look into. By popularizing it on social media and circulating it, you have now just allowed them to become aware of it so they-","2020-07-11 19:12:47",NULL,"Pennsylvania, USA","neutral"
"36","xoxocaitlynn","Since I’ve already posted this pic on every social media I have... I did a thing and chopped my hair off, and I absolutely love it ❤️ https://t.co/9BAyCSu8UE","2020-07-11 19:12:47",NULL,NULL,"neutral"
"37","TevesTV","I want to do something productive while I'm on this break. But it was definitely good to take a few days 10000% not focused on stream stuff and just chillin.

But yeah before I come back I wanna do something to freshen things up.","2020-07-11 19:12:47",NULL,"Toronto, Canada","neutral"
"38","ScoonTv","I got little patience people because I do more than my part. I flew the judge in 1st class. Had him chauffeured to and from the airport. Nice hotel and dinner. All out of MY pocket. I respect him. I treat people how I want to be treated. It doesn’t always work out that way","2020-07-11 19:12:48",NULL,"City of God.","neutral"
"39","HarriEvans97","Had a chinese for tea. Can you imagine the disappointment after I drive 25 minutes home only to find she’s gave me the wrong order and all the food I’ve had is shit ????","2020-07-11 19:12:49",NULL,NULL,"neutral"
"40","DariaHassQT","Mention the word ‘mask’ &amp; a load of nasty fake US accounts reply. So, accounts who can’t interpret science, vote for Trump &amp; are controlled by the far right have issues with one aspect of COVID control. I’ll be wearing a mask in public enclosed spaces until a vaccine is found. https://t.co/PQSqd2EkXA","2020-07-11 19:12:49",NULL,"London","neutral"
"41","im_DBK96","Junior Bachchan tested corona +ve too with mild symptoms
.
.
I'm waiting for Salman Khan's tweet ""wish of healthy recovery"" soon.
.
.
#memesdaily #MEMES #memes2020 #MemeBanaoPaisaKamao #","2020-07-11 19:12:49",NULL,"Agartala, India","neutral"
"42","kukkakuja","besides the standard lobe im also interested in a daith piercing mostly cuz it apparently helps with migraines and anxiety ???? but i dont like the way it looks so. hummmm ???????????? much to think about...","2020-07-11 19:12:51",NULL,"nearest lidl","neutral"
"43","PodPatti","7,000 Floridians hospitalized with COVID-19; state finally releases data by county - Orlando Sentinel// I have nothing to add to this disturbing report  https://t.co/lY0A3iYuCo","2020-07-11 19:12:51",NULL,NULL,"neutral"
"44","VoteGarret","OK because I'm ridiculous, I have a spreadsheet tabulating the votes real-time! You can follow along if you want. Please note this is unofficial, just based on what I'm hearing. I might make a mistake so wait for official results. https://t.co/zNr3UHHb4V","2020-07-11 19:12:51",NULL,"PA 45th district","neutral"
"45","AVanHouteghen","whenever people compliment me on my makeup or ask me to do theirs because i’m so good at it, it makes my heart so happy and makes me feel so good :))))","2020-07-11 19:12:51",NULL,NULL,"neutral"
"46","mooshie1999","Lot of people didn’t love SD last night &amp; you know what 
Their kinda it wasn’t the best show but at the same time 
I don’t think WWE has ever truly had a bad show just some
Are better then others as long as the matches are good 
&amp; the segments are entertaining it’s a good show","2020-07-11 19:12:51",NULL,"Alberta","neutral"
"47","ragdoll_riot","This is exactly why I'm not super keen on some of the contact-tracing ideas being suggested here. I know we've gotta get this virus under control, but I also know that info will be abused by dudes and marketers.","2020-07-11 19:12:51",NULL,"Savannah, GA     ","neutral"
"48","sonko_aisatou","A lot of Double standard going on. Last time I checked Will and jada were separated at the time and he had 2 relashinships while she was in her “entanglement”","2020-07-11 19:12:52",NULL,NULL,"neutral"
"49","Artismissed","Dear human;
I choose monsters over you. These illusions might kill me. Pain won't make me stronger. It will just make me go numb. I let go of it all. When you come back you have to try really hard to make me care again. At this very last moment of holding on i wish you success.","2020-07-11 19:12:52",NULL,"NeverLand","neutral"
"50","MKozla","I would tell him that he sold out his country to benefit himself, the Republican party, and especially this corrupt POS Donald Trump and family.","2020-07-11 19:12:52",NULL,"Saginaw MI ","neutral"
"51","lunaraecosplay","Eventually I’ll get more photos of Merida ???? So many cosplays, not enough time to shoot. I can’t be the only one!⠀
.⠀
.⠀
.⠀
????: mattgraphphotos https://t.co/D3UiIcz4Ez","2020-07-11 19:12:53",NULL,"Atlanta, GA","neutral"
"52","VirginiaRon3","I live some place safe and yet I hear people yelling at door greeters for being asked to sanitize. It is made all the more sad when they say it is a political game. That they benefit from the rest of us who wear masks seems unfair... but eventually this will be their story too.","2020-07-11 19:12:54",NULL,NULL,"neutral"
"53","SmokeeJackson","Everybody can’t play with me. I yell, I get frustrated, I call trash can ass niggas out. You either get better or we go play a PvE. Simple.","2020-07-11 19:12:55",NULL,"IL","neutral"
"54","ArShipto","Are you looking for photoshop editing service?  Background remove,resize,white transparent,cut out, person remove ect.This is the right place for you.i'm a professional photo editor. Any kind of photo editing i can do perfectly. Please visit this link: https://t.co/GDmXV7JaJR","2020-07-11 19:12:56",NULL,"Bangladesh","neutral"
"55","raplineownme","thinking of all the cool things she couldve gifted him with instead of a fcking baby bonnet. when i saw this last year i wanted to smack that girl on the head and ask her to apologise. just look how miserable he looked????","2020-07-11 19:12:56",NULL,"Scotland/ London","neutral"
"56","Kai_Symone","I remember the very first time I attempted to do my own hair in like the beginning of sixth grade. I was trying to straighten out my ponytail &amp; I don’t know what happened but my ponytail ended up so crumbled up ????. My mama didn’t let me touch my hair for a while after that.","2020-07-11 19:12:58",NULL,"Killeen, TX","neutral"
"57","thatnerdygirljo","With the help of the people at the Registrar Office I was still able to submit my ballot by the deadline. However this is still sketchy and proves that this is not a trustworthy means of voting","2020-07-11 19:12:59",NULL,NULL,"neutral"
"58","SSIIIIUUUUU","I take that back, we rate the white boy who moves from side to side like clockwork he just needs to holler at me if he needs some real work https://t.co/pWkk4PE7yA","2020-07-11 19:12:59",NULL,NULL,"neutral"
"59","MyHistrionics","Ok...so...ok how would one explain the physical differences between a gnome and a halfling in like a D&amp;D setting...
I want to draw this right....","2020-07-11 19:13:00",NULL,"MO, USA","neutral"
"60","Shawn29950586","While they're all out there looking gangster, I'm the one to disrupt the shenanigans by strolling trough the scene in my underwear like it's just another day.

Authorities execute search warrant on St. Louis couple who pointed guns at protesters https://t.co/Q4QYIX44NK","2020-07-11 19:13:00",NULL,NULL,"neutral"
"61","RandomQ85433955","Friendship...is born at the moment when one man says to another, """"What! You too? I thought that no one but myself...""""
~ C.S. Lewis
(The Four Loves)","2020-07-11 19:13:00",NULL,NULL,"neutral"
"62","impact_kenya","Alafu there is this breed of women who will buy you something and tell the one selling 'usimwambie ni nani, I want to remain anonymous'

God bless you. Continue remaining anonymous please.","2020-07-11 19:13:00",NULL,"Kisii, Kenya","neutral"
"63","cutestjoanne","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!!
Stay safe and see you soon, Louis x","2020-07-11 19:13:01",NULL,"23.05.19","neutral"
"64","aguercs","What if things end like this? with my dry lips, should I tell you my heart?
Painful tears,
Sad heart,
When I see you, I can’t say anything
I’m so scared, my head spins round.
—Crush","2020-07-11 19:13:01",NULL,"she/her","neutral"
"65","ItsZomosa","If I can wear a mask while lifting and carrying boxes that average to about 40 lbs and being in a trailer so hot you can’t touch the walls for 10 hours straight you can wear your fucking mask for the 30 minutes you are in a store. Grow up.","2020-07-11 19:13:01","United States","Your friend","neutral"
"66","CaySchneider","our windows at the store have a big sign in them that say Black Lives Matter and someone looked at them, laughed, said “thats fucking stupid” and left. i’m sorry you don’t enjoy human rights!","2020-07-11 19:13:01",NULL,"she/her","neutral"
"67","KingRiegan","Love his character, hate using him. I have never had a Clive who wasn't my worst cavalier and I have 3000+ hours in SoV","2020-07-11 19:13:01",NULL,NULL,"neutral"
"68","adrizamri","Rudiger
Emerson
Christensen
Zouma
Kepa.

In that order. I'm willing to give James another chance &amp; Azpi to retire at Chelsea. Alonso can stay. He's a shitty LB but as WB, he's decent enough.","2020-07-11 19:13:01",NULL,"Kuching","neutral"
"69","OffMyChest1153","I get it, you wanted to give me a taste of my own medicine. Mission accomplished. I’m miserable and broken. You won. Please just leave me to the vultures and stop playing with my heart. I know you’re not going to pick me.","2020-07-11 19:13:02",NULL,"California, USA","neutral"
"70","PEOPLEMP3","pjo (and affiliates), the immortal nicholas flamel series, lorien legacies (I am number 7), beautiful creatures, and others but idr ????????‍♀️","2020-07-11 19:13:03",NULL,"21 / nsfw / multi ","neutral"
"71","Mantse_AY","Short Life Story : #Everything that has a #Beginning surely has an End????????‍♂️????!! Make every Day count cuz being Alive means everything????????????!! R.I.P to all gone souls

Goodnight Famzu ???????????????????????????????? https://t.co/CUrL5aFyoZ","2020-07-11 19:13:04",NULL,"Accra, Ghana","neutral"
"72","localjobsdotcom","PATIENT ACCESS SERVICES REP I - CALL CENTER: Title: PATIENT ACCESS SERVICES REP I - CALL CENTER Location: FL-Oldsmar-Oldsmar Outpatient Imaging Job Number: 204938 The Patient Access Service (PAS) Representative I may be responsible for any of the… https://t.co/DhMNEutPx3","2020-07-11 19:13:04",NULL,NULL,"neutral"
"73","kittrixmusic","I started a new daily regimin and I’m getting so much more done every day! Finally finishing all these projects. Getting in shape. And releasing a couple songs in the next month ???? IM TAKING LIFE BY THE BALLS AND IT FEELS SO RIGHT ????????????","2020-07-11 19:13:04",NULL,"Los Angeles, CA","neutral"
"74","RonnieBeeee","I feel you sis but alot of Black and queer history intersect. It’s plenty of LGBTQIA Black people who have been down in the struggle.","2020-07-11 19:13:04",NULL,"Vegas","neutral"
"75","RynoBK","Life’s slowly getting better :D, with all the negative stuff going on I just wanna focus on other people who need help. If you need anything.. I mean literally anything please reach out to me, a place to stay, a tank of gas.. let’s make dreams come true","2020-07-11 19:13:04",NULL,"Youtube.com/c/RynoCS","neutral"
"76","jisoosrosie","lots of you saying australia but the minute i see a spider that’s even slightly bigger than a household spider im packing my bags","2020-07-11 19:13:06",NULL,"UK","neutral"
"77","edisn","when i was a christian and most of the time i was zen, i felt like my life had prepared me in the absolutely worst way for what was going to come. But since ive been a hindu, more and more things that happenned seemed just perfect to prepare me. I couldnt have planned it better.","2020-07-11 19:13:06",NULL,"Eugene, Oregon","neutral"
"78","TA1NTEDLUV","I'm just doing my thing ????

Happy weekend everyone. I'm doing my best to stay positive today. Sometimes we just need a break to scream and punch pillows, which was what I needed last night. 

Eat, take care, remember your meds if you take them and have water. https://t.co/KEAnKoo9PO","2020-07-11 19:13:07",NULL,"♡: ????????????|????????????|????????|????????????","neutral"
"79","taeIili","Jenshitters:I can excuse my own breed harassing producer under post where he’s talking about his deceased mother but I draw the line at lilies dming stylist????

 https://t.co/jR4x4BBGa8","2020-07-11 19:13:07",NULL,NULL,"neutral"
"80","levitaet",".. the amount of cans we've used since i got here like a little over 2 weeks ago .. 15 of the monsters are mine .. can i get a mental illness in the replies https://t.co/8Lx5sIYq1y","2020-07-11 19:13:07",NULL,"a ♡ she/her","neutral"
"81","1nOnlyChelsea","I wonder, how many people will be hospitalized next year for respiratory infections due to inappropriate mask policy while the rest of us are out and about breathing the fresh air?","2020-07-11 19:13:07",NULL,"Clayton, NC","neutral"
"82","thiccpunc","So. I’ve been thinking about ending the event soon. But that doesn’t mean Lara will no longer be a futa! Imma make a new pinned once the event is over!","2020-07-11 19:13:08",NULL,"Credit to @DullVivid","neutral"
"83","queenofworry","Well, after spending about 4 or 5 years together, it's time I part ways with my old phone. The poor old gal has had a few fractures in her screen for a year and is becoming difficult to fast charge.","2020-07-11 19:13:08",NULL,"Ladyworld ????","neutral"
"84","EveryPolice","⠀ ⠀ ⠀  ????
　   ????‍????‍????????‍????‍????????‍????‍????
    ????‍????‍????   ????‍????‍????　????‍????‍????
   ????   ????‍????‍????????‍????‍???? ????
  　  ????‍????‍????　????‍????‍????
　   ????‍????‍????　 ????‍????‍????
　   ????     ????
howdy. i'm the police officer of family","2020-07-11 19:13:08",NULL,"Officer, Victoria","neutral"
"85","WhySpamLord","Physical is important human dev - team, games, play! I don't like sports in lieu of academics (altho is strategy, plans, IS academic.) It's because 3 R's are so low, any time away RRR hurts. But, enrolled in ballet, soccer, guitar, Karate, YES. Voucher can pay ACTIVITY cost TOO????","2020-07-11 19:13:10",NULL,"San Diego, CA","neutral"
"86","dmhrealtor","You may have a question about the real estate process -- or you may have several. No matter the number, I'll be on call to answer them all. https://t.co/WYuzuB9OGL","2020-07-11 19:13:10",NULL,"South San Francisco, CA","neutral"
"87","ChrisEnsingCBC","Came across the end of a wedding (I’m pretty sure) walking through Willistead. 

Some of these more normal things still feel notable. https://t.co/zW41Mdy58x","2020-07-11 19:13:11",NULL,"Windsor, Ontario","neutral"
"88","godmela","I notice you didn’t respond to the tweet about you sitting in self hatred and shame while your tiny following of racist dumb dumbs nitpick my account. Does it feel good? Are you projecting your own feelings of inadequacy and self-loathing onto my tweets? We love to see it!","2020-07-11 19:13:11",NULL,"United States","neutral"
"89","astramaxima","I know I'm in the middle of watching Sabrina but like... what if I rewatch Hannibal. For the fifth time. It IS literally right there on Netflix.","2020-07-11 19:13:11",NULL,"Outer Space","neutral"
"90","emiloo_78","yo yo i finally uploaded a youtube video after 4 months of not doing anything on youtube????
Would mean the world to me if you could check it out and give it a lil like! 
https://t.co/qdCZbwHyEi https://t.co/Bbp43ShuwJ","2020-07-11 19:13:11",NULL,NULL,"neutral"
"91","Kayla_Raspberry","I understand why people choose Curbside and would rather not come in the store but don’t come in screaming at us lying about how long you waited when it’s the busiest we have probably ever been in a long time ????","2020-07-11 19:13:12",NULL,NULL,"neutral"
"92","insunchong","That is THE most MSK sign ever, haha. Hope all is well!!! Don’t forget about us back at BCM while you’re off doing great things.","2020-07-11 19:13:12",NULL,"Houston, TX","neutral"
"93","Paul_Bretl","During winter ball, Peralta recorded a 1.35 ERA with 20 strikeouts and just 6 hits over 20 innings and reportedly his pitch mix with the curve was fantastic. 
https://t.co/ZTpkDpZPXi","2020-07-11 19:13:12",NULL,"Titletown, USA ????","neutral"
"94","_humble_hustle","I came to my sisters house to wash and we were in her garage smoking a bowl, chilling and talking. All of a sudden we hear a honk. We look at each other like ???????? and both scream out “MY DAD!” ???? I ran inside to stash my bud in her room ????","2020-07-11 19:13:12",NULL,NULL,"neutral"
"95","bugmeat__","46678952318: You're literally so funny and whenever I see your tweets on my tl I get really happy- I want to talk more because you seem really cool but idk how to start convos, I'll figure it out eventually HAHA
Also your art style is reALLY CUTE OMG IT'S SO HAPPY LOOKING YK??","2020-07-11 19:13:12",NULL,"uhhhhhhhhhhh bed","neutral"
"96","JianeDoe","I am so incredibly relieved to learn that the reports of the death of John Lewis are false. My heart was broken. I  hope like hell the reports that he is still gracing us with his phenomenal existence are true.","2020-07-11 19:13:12",NULL,"Louisville, KY","neutral"
"97","HazzaMalik1","Is LT2 gonna be like fine line? I would want that, in the second album Louis expresses whp he really is, he's not playing it safe anymore and he's free","2020-07-11 19:13:13",NULL,"✨Treat People With Kindness✨","neutral"
"98","nicotbrave","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!
Stay safe and see you soon, Louis x","2020-07-11 19:13:13",NULL,NULL,"neutral"
"99","NickOH_las","Instead of a sandwich, I brought rolled up ham and cheese without the bread because I knew my coworker was bringing in the girl scout cookies I ordered a few months back and that I would probably eat the whole box in one sitting and so in my head it evens out ????????‍♂️","2020-07-11 19:13:13",NULL,"Long Island, NY","neutral"
"100","randstuffs","unTOUCHable
by Massstar
▪️Manhwa
▪️Complete
▪️Interesting plot
▪️Okay art

Read this so long ago so tbvh I can’t really say much on plot and art. But I rmb feeling super satisfied after I finished it. Sia could be annoying on times and I just really appreciate Jiho. ???? https://t.co/LFqybsD9VW","2020-07-11 19:13:13",NULL,NULL,"neutral"
"101","ThatEmoFreak101","What are you interested in that most people aren’t? — I mean, I guess horoscopes and all that? Like quite a few people are interested in it, but not that many ig? ·^· https://t.co/ufpQzV4Vd2","2020-07-11 19:13:14",NULL,"Hello i am simp for Kai","neutral"
"102","meerashah","Sunshine Saturdays ???? // Messy hair, don't care! Leopard spots + stripes &amp; a dash of frills... Sometimes it's just a simple outfit that isn't very ""gramworthy"" it's just whatever I reached for in the morning! This was… https://t.co/PvM6lE3gqr","2020-07-11 19:13:14",NULL,"London","neutral"
"103","RoseGoldenKing","Maybe part of my purpose here is TO LIFT THE VEIL for others to see what's happening. Cause a lot of people simply just don't share knowledge. Everyone's quiet about shit that matters THEE MOST. I've never stood with that shit.","2020-07-11 19:13:14",NULL,"SATX????","neutral"
"104","chipnkali","I sleep at 9pm, donot relate with anything everybody’s obsessed with nowadays and love to speak to anyone who’s even mildy interested. Love to see ive fully embraced the boomer life.","2020-07-11 19:13:16",NULL,NULL,"neutral"
"105","mittenkittenz","tmi but i watch porn of skinny girls to help motivate me? like that's really really weird but it works so well. Hearing them talk about her frame and bones etc. the way she's thrown around so fragile.","2020-07-11 19:13:16",NULL,NULL,"neutral"
"106","kingfranco","&gt; STATEMENT : Still waiting for the Irish Government to act on this inbound US-flights issue. I'm not holding my breath, but, it puts beyond [ any rational ] reasonable doubt, that the Irish-Public are being played as fools. Who was it who said: 'Fool me once, shame on you...' ?","2020-07-11 19:13:16",NULL,"New World...mostly.","neutral"
"107","stfujuuliette","So my thoughts and mind literally go 1000 mph so i talk to myself qkjxjejfnf to like get my thoughts in order lmfao does anyone else do this or am i just insane","2020-07-11 19:13:16",NULL,NULL,"neutral"
"108","fluffsumb","The way the vibe of mv teaser 2 was so different than teaser 1 ummm ima need some time to process I STILL DONT MNO WHAT THE F WE ARE GETTING https://t.co/GYSX3t0csj","2020-07-11 19:13:17",NULL,"19","neutral"
"109","bbeomgi","I have this one friend since I was 13 and she’s skinny and pretty as fck and everytime I see her I want to stop eating because I feel disgusting. It’s so unhealthy I know but like.... I want her body what can I say","2020-07-11 19:13:18",NULL,"she/her 21","neutral"
"110","samuraibeamish","sometimes i think stardust crusaders was nothing more than a dream because otherwise how did i—a jotaro kin, kakyoin stan and dio simp—survive it","2020-07-11 19:13:18",NULL,"she/her | intj | chaotic good","neutral"
"111","faghalforc","my trans lesbian bby sister just got home from vacation where she like. figured herself out so i havent seen her since she like really ided her pronouns and shit and im just dying i love lesbians","2020-07-11 19:13:19",NULL,"dk what day it is","neutral"
"112","gormammu","I also want to do some Link buffs in Melee because he’s a sick character tbh
I’d probably base some of it off of Scrumpy’s Viable Link but there’s also some other stuff I’m considering","2020-07-11 19:13:20",NULL,"Minnesota, USA","neutral"
"113","BforNC","“I didn’t know we were stepping out like THAT”

“Wooooo you look like you’re going somewhere! Where you going?” 

“Why are you showing me out like this?”","2020-07-11 19:13:20",NULL,NULL,"neutral"
"114","urlocaltrender","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!!
Stay safe and see you soon, Louis x","2020-07-11 19:13:20",NULL,"she/her insta: whxy.ari","neutral"
"115","_longandlost","Because Disney definitely can’t afford to keep their parks closed for a few more months in a covid hot zone. I love you Disney, but come on. ????","2020-07-11 19:13:21",NULL,"she/her ???????? ","neutral"
"116","TAB101_","It may be blurred to you, but I have 20/20 vision.  I have clear vision of everything that is for me. ????????????
Felling myself on a Saturday.
.
.
.
#theartofbeauty101 #beauty #love #selflove #lifestyle #beautiful… https://t.co/aLbvuRqsWI","2020-07-11 19:13:22",NULL,NULL,"neutral"
