"tweetid","username","created_at","tweet","location","place","classification"
"1285582822556590080","StonesMusic","2020-07-21 14:30:04+00:00","Does your choice of tuner reflect your personality? So which would you choose? ? #umatuner #uketuner #guitartuner #ukuleletuner #ukulele https://t.co/E8rheZVp7T","Mottram in Longdendale, Cheshire",,"positive"
"1285582844912234496","eunwo_oyaa","2020-07-21 14:30:09+00:00","Use this energy during the voting hours~~help each other in guiding about what next has to be done~~look back at your mental and physical health~~drink more water~~AND JUST TRY TO SPREAD POSITIVITY AND HAPPINESS HERE FOR BOTH #ASTRO AND #AROHAS ❤","Dongmin's '♡'",,"positive"
"1285582847676383235","Thetravellingu2","2020-07-21 14:30:10+00:00","Lunchin' at Baba Ganoush in #Kendal earlier today! ? Definitely recommend this place for a veggie/vegan bite to eat. You can even dine in now, woo ?

#VeganFood #VegetarianFood #TravelTribe #TheLakeDistrict #VeganRestaurant #BabaGanoush #BabaGanoushKendal https://t.co/r6AN3OIAOz","United Kingdom",,"positive"
"1285582875962769411","MyelinateBrain","2020-07-21 14:30:17+00:00","I normally don't post my spiders on here but today is a special occasion 
My spider is going through their first molt ❤
#molt #tarantula #sling #caribenaversicolor #antillespinktoe https://t.co/Ll8c7TpkaW",,,"positive"
"1285582879351767040","mattgreenenergy","2020-07-21 14:30:18+00:00","Join the #GreenEnergy revolution &amp; switch to a cheaper supplier like #BulbEnergy. You'll also get £50 credit with my link ? https://t.co/JdKtlsj81F ? No Exit Fees ✔ £50 credit ✔ Only takes 2 minutes to switch ✔?. ❤ BulbEnergy ❤",,,"positive"
"1285582888910684160","bin4all","2020-07-21 14:30:20+00:00","?| BIN + Tutorial HBO Max. 

?| Bin: here ? https://t.co/1rt6HqzYez
?| Cvv/Date: Rnd

?| Ip: United States. [??]
?| Zip: 10090

?| https://t.co/mHJQmqDxji

Join Now ❤
https://t.co/1rt6HqzYez",,,"positive"
"1285582948264054784","jenncrossingx","2020-07-21 14:30:34+00:00","a. i have 0 explanation for this... currently, i still have the ones from christmas 2019 ?
f. i use them as vases for dried flowers, and before i had a jar to collect 2-3 petals from every bouquet i’ve received!
l. they come in handy when i’ve run out of ketchup from bottles ?","?: dewdrop isle.",,"positive"
"1285582983219511296","BramptonLibrary","2020-07-21 14:30:42+00:00","What's BIGGER than a digger? BIGGER than a dinosaur?
Find out with Stephanie in today's #BLStorytime ?

https://t.co/kuG9qEW0nP https://t.co/mQl0xwEyFy","Brampton, Ontario, Canada",,"positive"
"1285583013070336001","nephilimdemon","2020-07-21 14:30:49+00:00","I also just realised how strange the second qns is ??? but thank you all for answering cause I'm curious after I realised 99% of my tweets are in caps ???","Where 谢 ? 郎 Is ?",,"positive"
"1285583027897335808","Nblackthorne","2020-07-21 14:30:53+00:00","❤ A Measured Risk ❤

""Fresh, steamy, emotional...a heart touching romance between two unique characters.""

* ❤ *•.¸¸❤¸¸.•*❤ *

Read  #FREE w Kindle Unlimited https://t.co/osSBPehWig

Read an excerpt:  https://t.co/hagqRSzLZl https://t.co/BRxniPsbd6",,,"positive"
"1285583107484274688","TheRazorHail","2020-07-21 14:31:12+00:00","thank you to all the people who chill in the morning streams, yall are amazing ❤ (also would you want a twitter notification for these livestreams)","America",,"positive"
"1285583124513136641","refiloe_ma","2020-07-21 14:31:16+00:00","You're such a wholesome being. I hope you get a loving girlfriend ❤ You're vocal about most uncomfortable topics in life aswel, I'm sure you're a safe space for many.","Where there's good internet",,"positive"
"1285583172483166208","_ragini__","2020-07-21 14:31:27+00:00","This part was more intense..!! 
Michael also can't call her deceptive little parasite??
Linda and Lucifer are ❤
I totally loved it.. ❤❤
Watching it on loop.. All my fav scenes ???",,,"positive"
"1285583177168367617","AusintheUS","2020-07-21 14:31:29+00:00","Happy #NationalLamingtonDay Australia ??? We'll be celebrating today by making and eating ALL of the lamingtons ? 
Need a recipe? We've got you covered ? https://t.co/IRBPvWsNx3 https://t.co/dEk4B01tE7","Washington, DC",,"positive"
"1285583234882056193","jackietvpsychic","2020-07-21 14:31:42+00:00","??? ❤ #Liverpool Based ❤ ??? OPEN for TEL bookings for all UK ? #Psychic  ? Pre-Payed ☎ Readings Available Only Due to Covid TEXT~ 07954628619 or Tel 01517922134 To Book #JRocks Celebrity Psychic","For entertainment purpose only not for supercilious souls",,"positive"
"1285583235078975488","AnneNervie","2020-07-21 14:31:42+00:00","He went out to check the LED projects today. Aww and he even took a video with the MewlionsPH project for Mew ? Gulfie is so supportive to his boo ❤

https://t.co/3AtHWYYsoA","Republika ng Pilipinas",,"positive"
"1285583237918502913","RedSoxNation52","2020-07-21 14:31:43+00:00","3 days till Red Sox regular season baseball(who's counting?) &amp; an amazing girl by my side. ❤ That's my positives to at least erase feeling blah this morning. She's always the one to make me smile &amp; we all know I love my baseball. ? Once again, hope y'all have a great day!","PNW- Washington State",,"positive"
"1285586376247914502","cityofyabook","2020-07-21 14:44:11+00:00","Spending my day listening to an audiobook (A Crown of Coral and Pearl by Mara Rutherford) and sewing some masks! I'm considering selling the HP ones for £4 each on etsy ? but first I wanted to make some for myself! https://t.co/CsB0Eu0odN","East Midlands, England",,"positive"
"1285586383978082305","glaciem__draco","2020-07-21 14:44:13+00:00","*place

You can tell I'm so shocked and disgusted that I forgot my English but yeah. Drawing such content isn't acceptable in any given situation, if you think it is, the block button is right there. Please never talk to me again ?",,,"positive"
"1285586404165201920","EYG_FamilyCoC","2020-07-21 14:44:18+00:00","A huge amount of interest in the EYG Open in the first few days of being announced already with some of the biggest names in the game already throwing their name into the hat. Applications will close on Friday 7th August. ?

App Server: https://t.co/9sqQehD6uC https://t.co/tJ0GWCfnom","South West, England",,"positive"
"1285586424192880641","zirpauwerful","2020-07-21 14:44:23+00:00","NEXT CONTENTS ON MY LIST: 
?Tutorial
?Product Review 
?Famous Airlines Voice Impressions

SOON!!! 
Subscribe on my Youtube Channel, Zir Pauwerful thank you! ❤","Republic of the Philippines",,"positive"
"1285586427946971136","LeenaKumari3012","2020-07-21 14:44:24+00:00","Thank you to everyone who is working hard at this Choaeadol voting. We are all doing well, giving our own time and efforts for the girls we love. Always be proud of your efforts and be positive. ❤","Singapore",,"positive"
"1285586558402338816","TheBetterBot","2020-07-21 14:44:55+00:00","Do something nice for someone you care about ?

Type: Social ?

Participants: 1

Accessibility: 0.1/1 (zero being the most accessible)

Price: 0/1 (zero being free)

#education #recreational #social #diy #charity 
#cooking #relaxation #music #busywork","heroku",,"positive"
"1285586591352840193","robostopia","2020-07-21 14:45:03+00:00","? Market Cap: $277,345,055,620
? BTC Dominance: 62.35%
❤ BTC: $9,376.71
? ETH: 0.02596074 BTC
? USDT: 0.00010663 BTC
❤ XRP: 0.00002123 BTC
❤ BCH: 0.02454558 BTC
⏰ 21.07.2020 17:42:00
ℹ Powered by #Robostopia","World",,"positive"
"1285586640623161346","VendettaXBL","2020-07-21 14:45:14+00:00","So glad Baseball is back on Thursday.  Also very excited for Fantasy Baseball as well.  Missed sports so much.  Plus I've been in this ultra competitive keeper league for 10+ years now ? https://t.co/iUZM1kaZei",,,"positive"
"1285586714166206471","FrenzyPIant","2020-07-21 14:45:32+00:00","Anyone up for some Kyurem raid invites ?? (Blue users prefered)

1610 6605 3902 

1139 8052 4403 

Add both of my accounts for more invites ?

 #PokémonGO #ポケモンGO","suspended at 2k",,"positive"
"1285586801000931337","carolynn_howard","2020-07-21 14:45:53+00:00","Putting on repeat to help them get to that 200 Million view mark ? #CanadianContent #ProudCanadian 
https://t.co/PKwPIyzwPC","Ontario",,"positive"
"1285586818046590978","FrenzyPIant","2020-07-21 14:45:57+00:00","Anyone up for some Kyurem raid invites ?? (Blue users prefered)

1610 6605 3902 

1139 8052 4403 

Add both of my accounts for more invites ?

 #PokémonGO #ポケモンGO https://t.co/KkPBIpx8tb","suspended at 2k",,"positive"
"1285586869829410822","CooksAssistant","2020-07-21 14:46:09+00:00","Breakfast over the weekend with Mrs Cook’s Assistant:

Pancakes and Sausage with Coffee, Orange Juice and Fresh Strawberries  ? https://t.co/jjE8qOGEgP",,,"positive"
"1285586885943812097","BrightWinGFC","2020-07-21 14:46:13+00:00","We're still accepting your appreciation letters for BrightWin ja ❤ We've been seeing hundreds of letters already ??  Please drop your letters! See poster for more details!

#ไบร์ทวินคิดถึงนะ #ไบร์ทวิน #bbrightvc #winmetawin #BrightWin","Globally Beside Bright & Win ",,"positive"
"1285586888519294977","rakki38","2020-07-21 14:46:13+00:00","❤ JDM Not Interested Rakki38 Banner Vinyl Decal
https://t.co/AIV4DlFt15 
#listmyetsy #etsy #etsyseller #etsystore #etsyshop #vinyldecalshop #stickershop #decals #decalstickers #vinyldecals #vinylstickers #jdm #jdmlove #jdmdecals #jdmstickers https://t.co/kQaEzOytaX",,,"positive"
"1285586954025869313","multistagecorre","2020-07-21 14:46:29+00:00","Mystery Aliens Animated portrait of Adolf Hitler in the Sun July 6 201
a myunhauzen74 video
on https://t.co/TTeCeaWvqS

#UFO #UFOs #aliens #OVNI
? ? ?
?
we oppose deception https://t.co/5jbSnlstdU","terran system earth",,"positive"
"1285586991934058496","JanetBa60495462","2020-07-21 14:46:38+00:00","Spank my tits ❤ it's the only way I learn !!!If you can make this post get 74 RT's I will send each of you sexy pic in DM !!!? https://t.co/QlF6gpZ5aA",,,"positive"
"1285587000410726400","newpowerfitness","2020-07-21 14:46:40+00:00","If that disney make u want 2 go 4 a pint nothing will, a freshly painted 4 the FIRST time in its existence  Tamsons Pub ? https://t.co/d8t5wWQAWp","Glasgow. Amsterdam",,"positive"
"1285656592281669632","musicalcomfort","2020-07-21 19:23:12+00:00","I'll be ia tomorrow (or atleast for most of the day) because I'm gonna go to an amusement park with my family and won't take my phone with me ❤

#MTVHottest 5 seconds of summer https://t.co/JY6jdPI1GE","? she/her • 16yrs ?",,"positive"
"1285656722124800001","killakonny","2020-07-21 19:23:43+00:00","Any indian girls (dont have to be full indian) selling nudes, comment or get in my messages ? #buyingnudes #sellingnudes #buyingcontent #sellingcontent #indian #sexworkers",,,"positive"
"1285656725916389377","DMthisPM","2020-07-21 19:23:44+00:00","I have a new domain name, relatively unique content, decent writing skills, and a new format that resolves pet peeves that I believe people other than me have too. 
Problem? I’m lazy ?","Bangalore, India",,"positive"
"1285656739992526848","ashlyndianeart","2020-07-21 19:23:47+00:00","And to anyone that has bought my art, I literally cannot thank you enough. Words cannot express how grateful I am and how happy it makes me that people have liked my art enough to want it forever. ❤","Richmond, VA",,"positive"
"1285656796707917835","krutilovesnjh","2020-07-21 19:24:01+00:00","I love how twitter suddenly becomes super duper happy when our Nialler is back!! His presence is enough to make everyone smile?

#ThankYouNiall ❤ https://t.co/tUGtzANhca",,,"positive"
"1285656801409732609","copawinebar","2020-07-21 19:24:02+00:00","What's better than Copa for dinner? Copa for lunch &amp; dinner! ?

Stop by July 30th &amp; 31st for our soft opening or join us on August 3rd for the grand opening of Copa for lunch! Join us and have a taste of our brand new menu! 

#copawinebar #lunchtime #lunchbreak https://t.co/9nUEGoKBgY","San Antonio, TX",,"positive"
"1285656811492855814","kiranightlyxo_","2020-07-21 19:24:04+00:00","I'm streaming! ❤

✍ https://t.co/VdYecwFNaO

#kiranightlyxo #cumtime #cumshowgoal #sensitive #sexyass #sexyboy #sexydance #sexylatin #showdick #showpussy #candy #cam #butt #wild #breasts #boytoy #spoil",,,"positive"
"1285656815326429184","kiranightlyxo_","2020-07-21 19:24:05+00:00","I'm streaming! ❤

✍ https://t.co/ERPPgcu5MK

#kiranightlyxo #cumtime #cumshowgoal #sensitive #sexyass #sexyboy #sexydance #sexylatin #showdick #showpussy #candy #cam #butt #wild #breasts #boytoy #spoil",,,"positive"
"1285656827246645248","SteWittenauer","2020-07-21 19:24:08+00:00","Gooooood night Spiez ?? ?? View from home in direction of #church of Spiez and #stockhorn ?
#Spiez and #BernerOberland: here are my personal 101 #placestovisit in this #beautiful region - shot 066 ? ???
.
.
#bern… https://t.co/2gfIEEyEKp","Switzerland",,"positive"
"1285656852202651648","Powamowinstarot","2020-07-21 19:24:14+00:00","May have loss a prized possession you had an attachment to. It's ok to grieve and it's ok to feel sad and depressed! Take the time you need earth signs. ❤",,,"positive"
"1285656940744527872","mgreiler","2020-07-21 19:24:35+00:00","I'm halfway through my so needed summer break.

I can completely concentrate on the house project, and I make one huge ""house decision"" each day.

And, it comes along. ?

In addition, I took the time to enjoy time with kids &amp; hubby.

Still, looking forward to ""work"" again. https://t.co/c5t5m3zCur",,,"positive"
"1285656961950908416","tarigenticae","2020-07-21 19:24:40+00:00","i think it would be really neat to have an atla landscape/travelogue zine! the show visits so many cool places, it'd be fun to see fan art of the world itself. if i had more time i'd organize it myself but in the meantime i can daydream about it. ?","california",,"positive"
"1285656967546011654","raintreegifts","2020-07-21 19:24:42+00:00","Have you voted for your favorite Downtown patriotic window display yet? 

We would ❤ your ⭐VOTE⭐ 

Go here---&gt; https://sidewalksale.downtownmelbourne 

#mosteclecticshop 
____________

826 E. New Haven Ave in… https://t.co/YpWW0igqL9","Melbourne, FL",,"positive"
"1285656999884197893","luansalesdraw","2020-07-21 19:24:49+00:00","Fiz uma fan art do jogo Kingdom Hearts ❤

#draw #drawings #ink #artist #paint #illustration #illustrator #artistic #artwork #inked #instaart #disneyprincess #disney #disneyworld #desenhista #artistsoninstagram #disneydrawing #kingdomhearts #finalfantasy #fanart #SquareEnix #art https://t.co/JQceqzA1fj","Cidade Tiradentes, São Paulo",,"positive"
"1285657016728530944","ParagraphKenya","2020-07-21 19:24:53+00:00","Ngong Road interchange at Prestige to ease traffic  ? ? ?  Read More - https://t.co/OcTyORGAaS #Business #BusinessNews https://t.co/hActYwPLrD","Nairobi",,"positive"
"1285657021962948608","lavitamigliore3","2020-07-21 19:24:55+00:00","""You are the fond object of my affection and my desire, you and you alone are the keeper of the key to my heart [...] I'm not engaged nor will I be, unless it's you Anne, my Anne with an E. It always has been and always will be you"" ❤

Vado a piangere e torno ?
#ChiamatemiAnna https://t.co/hSGxv8TxbJ","Roma, Lazio",,"positive"
"1285657025414934528","kevin_backwoods","2020-07-21 19:24:55+00:00","Got horny at work soooo
Want a taste ?
Dm for promo , ... Follow my onlyfans page to watch the full video

https://t.co/gZcCeBgs2E https://t.co/Qw2knkGASb","Memphis, TN",,"positive"
"1285657079752069120","SimoneKay","2020-07-21 19:25:08+00:00","Finally got to walk around Isabella plantation Richmond park while the sun was beaming down and these strangers were watching 8 ducklings.  This magpie also turned up! ❤ #drawingoneaday #watercoloursketch… https://t.co/C8SyHYCiGR","Kingston upon Thames",,"positive"
"1285657121493843971","puzzlelune","2020-07-21 19:25:18+00:00","when key said ladies n gentlemen, how do you do??idk...where my dogs at?!??? hooo yo! everybody go! no stops! ❌??‍♂️ brrrrr west coast!!? south side! ? no side?? Come and let it go??‍♂️WOOF WOOF? skip the boring bits ???WOOF WOOF? skip the boring bits ? Yo come on!!!????","7teen - sudani?? - she/her",,"positive"
"1285657136270376960","TerrainHopper","2020-07-21 19:25:22+00:00","Overlander Mini for family time ?
-- Get out with the kids
-- Have fun on the beach
-- Explore hills and dales ❤️
https://t.co/zstSdAyM0K https://t.co/AB3da7ofCp","Louth, UK",,"positive"
"1285657178347573248","carry_on_katy","2020-07-21 19:25:32+00:00","Behold a glorious sight!

An autistic child, formerly terrified of sand, now asking me to turn him in to a mermaid!! (actually a ""Merman"" is what he said, with ear-shattering passion) 

He's come such a long way and he keeps on climbing. A little legend he is. ❤

#autism https://t.co/B92cFR6uru","Wales, United Kingdom",,"positive"
"1285657208718589952","Mister_Hopeful","2020-07-21 19:25:39+00:00","3 man ratatoskr stun https://t.co/Jb8fjy091B 
Watch me on Twitch for more Smite gameplay! ?
https://t.co/ksOAtojMXP #Smitegameplay #TwitchStreamers #smite",,,"positive"
"1285657216691863552","jkoutfit","2020-07-21 19:25:41+00:00","it would be sus if my time was top 20 and suddenly reached #1 on the last day of tracking but my time was stable because amis loved the song ❤ fcuking weirdos","still with you",,"positive"
"1285657246517600259","smartfinal","2020-07-21 19:25:48+00:00","Top off some tacos ? for #TacoTuesday, stick ‘em in a scramble, spice up a salad or just toss ‘em on the grill. Any way you slice it, bell peppers are one of summertime’s crunchiest and most refreshing vegetables, so go ahead and give ‘em a ring! ? https://t.co/LQ6TgrCLkr","Arizona, California, Nevada",,"positive"
"1285657328772096001","cansadissima_","2020-07-21 19:26:08+00:00","As a way of life I never support Meredith Grey on anything but Amelia can do whatever she wants and Penny's feelings are irrelevant ❤",,,"positive"
"1285657341963251712","instagramchief","2020-07-21 19:26:11+00:00","Follow me on &gt; &gt; &gt; https://t.co/A3bDbZthFd &gt;&gt;&gt; and tag your best artworks #DRKYSELA to be featured ❤ #instagram #art #shoutout https://t.co/6hCR8GOA9x https://t.co/nw8ppmNQ5T","Brighton, UK",,"positive"
"1285657361730998276","GarregM","2020-07-21 19:26:16+00:00","Finally it's ""FE3H x P5R AU"" time! 

Here is something that I wanted to do for a while now and thats their Health Bars. 

So what do you think? ?

#FE3H #Persona5 https://t.co/8Xe9zi7Ls1","Fódlan",,"positive"
"1285657381800738823","suhnjjun","2020-07-21 19:26:20+00:00","wauw sanha best boy! i really needed this today ahaha, i had such a down day without any reason, it’s so weird, but i’ll go on a walk now as sanha recommended ?",,,"positive"
"1285657470606684163","fetchedaccess","2020-07-21 19:26:42+00:00","When you know you're a survivor you're a force to be reckoned with ❤ Wear it with pride. 
So proud to have my stamp of approval of this exclusive Survivor Bracelet ? made from Sterling Silver and plated in 14ct Gold,… https://t.co/t4wNxujcK3","Ireland",,"positive"
"1285657485647532033","ShredderJorge","2020-07-21 19:26:45+00:00","Can’t wait for the $600 a week people are getting to sit their assses at home expires this week if you’re able bodied and aren’t working you’re part of the problem ?","Atlanta, GA","United States","positive"
"1285657497332862977","aFortniteMom","2020-07-21 19:26:48+00:00","Hey #MomFam these dog needs urgent your help. A friend of a very good fllw of mine is taking care on her but needs an surgery. Pls share that tweet&amp; if possible gift anything. Bitte liebe Leute, dieser Hund braucht Hilfe! Lest es durch und teilt es &amp; helft ❤ #doghelp #hundehilfe","Germany/Deutschland",,"positive"
"1285657524851572737","sabtastic_tia","2020-07-21 19:26:54+00:00","honestly anyone who has gone through sa has gone through so much, and their feelings are a thousand percent valid. I just want to clarify that I'm here for you all ❤",,,"positive"
"1285657595303407617","buyericastuff","2020-07-21 19:27:11+00:00","Broly made a new friend today!! We totally got kicked out of 3 beaches because the Internet said they allowed dogs but they don’t, and ended up here ? #dogsoftwitter #goldenretriever #dogmom https://t.co/dNyP029ywS",,,"positive"
"1285657609589215232","xxyahighnessxx","2020-07-21 19:27:15+00:00","❣MASSIVE SW FOLLOW THREAD❣
❣MASSIVE SW FOLLOW THREAD❣

?Comment an emoji below?

❤Follow everyone that likes your comment❤

♻️RT and Like for more exposure ♻️

?Follow me, I follow back all SWs?

❤ Happy gaining! ❤",,,"positive"
"1285657637250621441","AdmiralKip","2020-07-21 19:27:21+00:00","I had a shitty Sunday, so I did nothing yesterday while feeling like a train wreck.

Everything I have recorded is null n void till next week, so I have to go on a recording spree.

Back to business tomorrow. ❤ https://t.co/d0b8p37SFK","Pallet Town, Kanto",,"positive"
"1285657663204921346","DustyK504","2020-07-21 19:27:27+00:00","For decades the GOP has been working to get us to this point.  Rethugs have been saying ""We don't want smart voters""  The corps have been successful in there billions in bribing politicians.",,,"positive"
"1285657668280082441","Windwaker75","2020-07-21 19:27:29+00:00","#RobinWilliams Would have been 69 today.  What an Actor and comic gent in general... also have to mention his love for #LegendofZelda miss him so much ❤","The Lost Woods",,"positive"
"1285657686319812609","CanterburyYear3","2020-07-21 19:27:33+00:00","It has been so so lovely to see so many of you today. I’m so proud of you all, you’re all amazing and will have a great time in Year 4. I’m looking forward to watch you grow and learn. Have a great summer everyone. ?",,,"positive"
"1285657719345680384","tatafonaija","2020-07-21 19:27:41+00:00","Dora playing hard to get
.
Ozo : So you didn’t miss me
Dorathy - No, why? Give me details 
Ozo - Ok! ? 
.
Is this a good strategy for her? Nengi and Co are ready and waiting by the side ????
.
.
 
#BBnaijaFollow… https://t.co/FQzqNOCPWI","ABUJA",,"positive"
"1285657724169129990","antara_official","2020-07-21 19:27:42+00:00","happy birthday Gungun di ❤️❤️many many happy returns of the day ? i miss our endless talks n laughs ? enjoy ur day...love u loads ❤️❤️❤️ https://t.co/dolXR38k3v","उड़ीसा, भारत",,"positive"
"1285657729185599489","psychlt","2020-07-21 19:27:43+00:00","will get my dad to listen to walls tomorrow and then we'll go to LTWT together ? and maybe him and louis will become friends ? that's the only way now ????","india",,"positive"
"1285657755970424832","Oh_Hi_Riley","2020-07-21 19:27:50+00:00","Hi World! 

Rook does this thing where he love head scritches, and when the head scritches are done, he flops your hand on his head for more scritches. 

It's a rough world out there. Hopefully this makes u smile today ? https://t.co/j1jP9leXmk","Cary, NC",,"positive"
"1285657782906126336","sundiata6","2020-07-21 19:27:56+00:00","""Open the airport, some of us are in international relationships ,we want to fly out and represent the country on bigger stages"" said Me who lost his national ? and doesn't have a passport ?
#M7Address","Kampala, Uganda",,"positive"
"1285657783883489280","Malaikah714","2020-07-21 19:27:56+00:00","Momma and babies ? ? ? ? ? ❤ ? 
DOB 07-18-2020
Dam: Luna Ray's Iberia 
Sire: Esesin
#lunarayboxers #litterU #lunaraysiberia #euroboxers  #puppydog #puppylove #pnwboxers #boxersoninstagram #boxerdog… https://t.co/bNHi3i4Wly","Cove, OR ","United States","positive"
"1285657819665104896","iamsweta151","2020-07-21 19:28:05+00:00","was so painful to watch and kudos to their acting ❤ The way he broke down?? He even made the guards cry?? I hope that anything won't happen to the duo but the preview is scary. I never liked the sister of detective Kang but now I officially hate her. How dare she made(5/6)","India",,"positive"
"1285657826824802306","birdsofna","2020-07-21 19:28:06+00:00","We have a nice, quiet week to on tap at the studio - my fave ? I'm working on FW20 patterns so we can get them cut and sewn, we're shipping some of our new styles out to stores (like Pingouin and Big Dress - yay!) and we're making masks! The shop is open all week ? https://t.co/73nZorY1m7",,,"positive"
"1285657827852390400","secrettarot1111","2020-07-21 19:28:07+00:00","#Capricorn August 2020 ❤ They Are Starting To Fall For You Capricorn https://t.co/e6Z9QFMxqh #Tarot #Horoscope #Tarotscope #Zodiac #Astrology #Capricorn #AugustHoroscope",,,"positive"
"1285657836190564356","MariaP_zarag","2020-07-21 19:28:09+00:00","⚠️ Tomorrow, Wednesday, July 22, we will continue with them and the series ?
We continue commenting on the chapters and their characters ?
We will use these hashtags for it
⏬⏬⏬⏬
#İbrahimÇelikkol 
#DoğduğunEvKaderindir
Thank you! ? https://t.co/eUEuH1zumu","Turquia","España","positive"
"1285657850283466762","Joao12Ferreira","2020-07-21 19:28:12+00:00","Here they come #MicrosoftLists GA start to rollout ? if you don't know yet what this is have a look at this article ⬇️ #Microsoft365 https://t.co/m0X0J4Ceo2","Porto, Portugal",,"positive"
"1285657875998806018","KorokuTV","2020-07-21 19:28:18+00:00","[Stream schedule starting 07/21]

Tues: 6pm EST
Wed: 6pm EST
Thurs: 6pm EST

First week fully back on stream and we’ll be chilling out on Pokémon FireRed soft resetting Bulbasaur! Hope to hang out with ya there! ? https://t.co/qzqXJ1RPka","United States",,"positive"
"1285657877118623754","kkbialaa","2020-07-21 19:28:18+00:00","In the last two editions of #KKONTEST I was the only judge. 
This year I decided to ask a few of you for help ?

There will be 4 judges? 
Let me introduce them in my next posts ❤

Read more about the judging here:
https://t.co/KlJ03NWepY

#amv #amvcontest #amvcontest2020 https://t.co/Do8bgumcB4",,,"positive"
"1285657939202781185","SandyLeeAndRonS","2020-07-21 19:28:33+00:00","❤️❤️❤️ Instagram Ebook, packed to the hilt with great tips and guidance. Instant access: https://t.co/Ezsbr2S4Bf ?
#webpage #startuptips #mindsetofgreatness https://t.co/k555axurfc","Texas, USA",,"positive"
"1285657973222768641","mycelebrityandi","2020-07-21 19:28:41+00:00","Dorathy keeps friend-zoning Ozo ?
Ozo : So you didn’t miss me
Dorathy - No, why? Give me details 
Ozo - Ok! ? #bbnaija #bbnaijalockdown https://t.co/ERB4nAq2jp","Lagos Nigeria",,"positive"
"1285657983662329858","Sin_drella12","2020-07-21 19:28:44+00:00","We stand with you sir thank you so much for your support ,not just India the world demands justice for  Sushsnt 
#Candle4SSR #WorldWantCBIForSSR ❤","worldwide",,"positive"
"1285658001819471878","HNSOfficial_","2020-07-21 19:28:48+00:00","You heard the man! Get in the stream and show support! Check him out, Drop a Sub, Like, Comment, Share, and RT.  ❤ T H A N K S ❤","New York, USA",,"positive"
"1285658008270315523","GgAviation","2020-07-21 19:28:50+00:00","Honest opinion please...
#pilotsoftwitter #avgeeks #boyswhofly #girlswhofly 
I am considering putting this reg on a new car. Please vote on the #Poll below ? https://t.co/ZFMIyjglKX","England UK",,"positive"
